IP地址,数据中心,国家代码,区域,城市,延迟,
business.udemy.com,SJC,US,North America,San Jose,389 ms,
opencv.org,SJC,US,North America,San Jose,390 ms,
journalofethics.ama-assn.org,SJC,US,North America,San Jose,390 ms,
newsis.com,SJC,US,North America,San Jose,390 ms,
officesnapshots.com,SJC,US,North America,San Jose,390 ms,
sphero.com,SJC,US,North America,San Jose,391 ms,
anthrosource.onlinelibrary.wiley.com,SJC,US,North America,San Jose,391 ms,
queue.acm.org,HKG,HK,Asia Pacific,Hong Kong,391 ms,
tech.slashdot.org,SJC,US,North America,San Jose,392 ms,
barn2.co.uk,SJC,US,North America,San Jose,392 ms,
forums.macrumors.com,HKG,HK,Asia Pacific,Hong Kong,392 ms,
dexerto.com,HKG,HK,Asia Pacific,Hong Kong,392 ms,
simplified.com,HKG,HK,Asia Pacific,Hong Kong,394 ms,
scanbot.io,SJC,US,North America,San Jose,394 ms,
cftc.gov,HKG,HK,Asia Pacific,Hong Kong,395 ms,
corsair.com,HKG,HK,Asia Pacific,Hong Kong,399 ms,
visionofhumanity.org,SJC,US,North America,San Jose,400 ms,
techbullion.com,SJC,US,North America,San Jose,402 ms,
www-nds.iaea.org,HKG,HK,Asia Pacific,Hong Kong,402 ms,
cybersource.com,SJC,US,North America,San Jose,402 ms,
physio-pedia.com,HKG,HK,Asia Pacific,Hong Kong,402 ms,
devops.com,HKG,HK,Asia Pacific,Hong Kong,406 ms,
sedo.com,SJC,US,North America,San Jose,409 ms,
nationaltoday.com,SJC,US,North America,San Jose,410 ms,
linkpop.com,SJC,US,North America,San Jose,410 ms,
dev.maxmind.com,SJC,US,North America,San Jose,411 ms,
gothamist.com,HKG,HK,Asia Pacific,Hong Kong,411 ms,
moodys.com,HKG,HK,Asia Pacific,Hong Kong,413 ms,
sangoma.com,SJC,US,North America,San Jose,416 ms,
10web.io,HKG,HK,Asia Pacific,Hong Kong,416 ms,
sos.state.co.us,HKG,HK,Asia Pacific,Hong Kong,417 ms,
afi.com,HKG,HK,Asia Pacific,Hong Kong,420 ms,
mistral.ai,HKG,HK,Asia Pacific,Hong Kong,422 ms,
awards.acm.org,HKG,HK,Asia Pacific,Hong Kong,426 ms,
blogfreely.net,CDG,FR,Europe,Paris,428 ms,
undraw.co,LHR,GB,Europe,London,430 ms,
copy.com,LHR,GB,Europe,London,434 ms,
wellesley.edu,SJC,US,North America,San Jose,435 ms,
wideopencountry.com,LHR,GB,Europe,London,441 ms,
medium.design,SJC,US,North America,San Jose,443 ms,
scaledagileframework.com,SJC,US,North America,San Jose,449 ms,
plosmedicine.org,CDG,FR,Europe,Paris,454 ms,
powerreviews.com,SJC,US,North America,San Jose,454 ms,
delyva.com,LHR,GB,Europe,London,456 ms,
demotix.com,LHR,GB,Europe,London,458 ms,
vanguardngr.com,HKG,HK,Asia Pacific,Hong Kong,458 ms,
trekearth.com,CDG,FR,Europe,Paris,459 ms,
codyhouse.co,LHR,GB,Europe,London,459 ms,
ekantipur.com,AMS,NL,Europe,Amsterdam,459 ms,
supercars.net,CDG,FR,Europe,Paris,462 ms,
remoteok.io,LHR,GB,Europe,London,463 ms,
atlantico.fr,LHR,GB,Europe,London,468 ms,
nicekicks.com,CDG,FR,Europe,Paris,470 ms,
courttv.com,SJC,US,North America,San Jose,471 ms,
postheaven.net,LHR,GB,Europe,London,477 ms,
newsblaze.com,IAD,US,North America,Ashburn,477 ms,
hifructose.com,LHR,GB,Europe,London,478 ms,
americansongwriter.com,CDG,FR,Europe,Paris,478 ms,
todayszaman.com,CDG,FR,Europe,Paris,479 ms,
osnews.com,LHR,GB,Europe,London,480 ms,
slowly.app,LHR,GB,Europe,London,481 ms,
dancemagazine.com,IAD,US,North America,Ashburn,481 ms,
v3.co.uk,AMS,NL,Europe,Amsterdam,481 ms,
researchsquare.com,HKG,HK,Asia Pacific,Hong Kong,481 ms,
grpc.io,CDG,FR,Europe,Paris,482 ms,
support.credly.com,SJC,US,North America,San Jose,484 ms,
insideclimatenews.org,LHR,GB,Europe,London,486 ms,
techpresident.com,CDG,FR,Europe,Paris,486 ms,
theeverygirl.com,IAD,US,North America,Ashburn,488 ms,
authorityhacker.com,IAD,US,North America,Ashburn,490 ms,
unlicense.org,CDG,FR,Europe,Paris,492 ms,
houstonpress.com,CDG,FR,Europe,Paris,493 ms,
theins.ru,IAD,US,North America,Ashburn,493 ms,
static.addtoany.com,IAD,US,North America,Ashburn,493 ms,
publicintegrity.org,IAD,US,North America,Ashburn,495 ms,
doxygen.nl,CDG,FR,Europe,Paris,495 ms,
amcharts.com,IAD,US,North America,Ashburn,497 ms,
webpack.js.org,IAD,US,North America,Ashburn,498 ms,
calculator-online.net,IAD,US,North America,Ashburn,499 ms,
bruegel.org,LHR,GB,Europe,London,504 ms,
io9.gizmodo.com,IAD,US,North America,Ashburn,505 ms,
gratisography.com,LHR,GB,Europe,London,505 ms,
webchat.freenode.net,IAD,US,North America,Ashburn,506 ms,
kennedy-center.org,IAD,US,North America,Ashburn,507 ms,
animalpolitico.com,IAD,US,North America,Ashburn,507 ms,
waltonbd.com,CDG,FR,Europe,Paris,508 ms,
datasociety.net,IAD,US,North America,Ashburn,511 ms,
bdnews24.com,CDG,FR,Europe,Paris,511 ms,
keepassxc.org,CDG,FR,Europe,Paris,512 ms,
emailoctopus.com,IAD,US,North America,Ashburn,513 ms,
radiopaedia.org,IAD,US,North America,Ashburn,514 ms,
moddb.com,IAD,US,North America,Ashburn,516 ms,
ratchakitcha.soc.go.th,IAD,US,North America,Ashburn,518 ms,
universetoday.com,CDG,FR,Europe,Paris,519 ms,
miaminewtimes.com,IAD,US,North America,Ashburn,519 ms,
publicdomainpictures.net,IAD,US,North America,Ashburn,520 ms,
linux.die.net,IAD,US,North America,Ashburn,520 ms,
asq.org,IAD,US,North America,Ashburn,521 ms,
clustrmaps.com,IAD,US,North America,Ashburn,524 ms,
developers.hubspot.com,SJC,US,North America,San Jose,525 ms,
matplotlib.org,IAD,US,North America,Ashburn,525 ms,
dict.longdo.com,IAD,US,North America,Ashburn,525 ms,
getclicky.com,SJC,US,North America,San Jose,527 ms,
zopim.com,SJC,US,North America,San Jose,528 ms,
invespcro.com,LHR,GB,Europe,London,528 ms,
open.buffer.com,SJC,US,North America,San Jose,530 ms,
metropolismag.com,IAD,US,North America,Ashburn,530 ms,
vvmf.org,IAD,US,North America,Ashburn,531 ms,
chatelaine.com,SJC,US,North America,San Jose,532 ms,
jeuxvideo.com,SJC,US,North America,San Jose,533 ms,
wagwalking.com,SJC,US,North America,San Jose,533 ms,
blabbermouth.net,IAD,US,North America,Ashburn,534 ms,
tastykitchen.com,IAD,US,North America,Ashburn,535 ms,
talabat.com,SJC,US,North America,San Jose,535 ms,
ar15.com,IAD,US,North America,Ashburn,537 ms,
msc.org,IAD,US,North America,Ashburn,537 ms,
aflcio.org,IAD,US,North America,Ashburn,537 ms,
urbanclap.com,SJC,US,North America,San Jose,538 ms,
themarshallproject.org,IAD,US,North America,Ashburn,540 ms,
thesartorialist.com,IAD,US,North America,Ashburn,540 ms,
yithemes.com,SJC,US,North America,San Jose,540 ms,
younghouselove.com,IAD,US,North America,Ashburn,540 ms,
getrocketbook.com,SJC,US,North America,San Jose,541 ms,
meistertask.com,SJC,US,North America,San Jose,542 ms,
travelexinsurance.com,IAD,US,North America,Ashburn,543 ms,
garden.org,IAD,US,North America,Ashburn,545 ms,
spoonuniversity.com,IAD,US,North America,Ashburn,545 ms,
leadconnectorhq.com,HKG,HK,Asia Pacific,Hong Kong,546 ms,
medium.freecodecamp.org,IAD,US,North America,Ashburn,546 ms,
royal.uk,IAD,US,North America,Ashburn,547 ms,
openmaptiles.org,LHR,GB,Europe,London,550 ms,
axieinfinity.com,IAD,US,North America,Ashburn,551 ms,
cinemark.com,SJC,US,North America,San Jose,551 ms,
expressjs.com,IAD,US,North America,Ashburn,553 ms,
opendoor.com,SJC,US,North America,San Jose,554 ms,
wireshark.org,IAD,US,North America,Ashburn,554 ms,
creativepro.com,IAD,US,North America,Ashburn,555 ms,
airalo.com,HKG,HK,Asia Pacific,Hong Kong,555 ms,
db-ip.com,IAD,US,North America,Ashburn,555 ms,
azuremagazine.com,SJC,US,North America,San Jose,555 ms,
gvsu.edu,SJC,US,North America,San Jose,557 ms,
pcgamesn.com,IAD,US,North America,Ashburn,557 ms,
newswise.com,SJC,US,North America,San Jose,560 ms,
santabarbaraca.com,SJC,US,North America,San Jose,560 ms,
disneyfoodblog.com,SJC,US,North America,San Jose,561 ms,
israelnationalnews.com,SJC,US,North America,San Jose,561 ms,
site.adform.com,IAD,US,North America,Ashburn,564 ms,
skagen.com,SJC,US,North America,San Jose,565 ms,
workable.com,SJC,US,North America,San Jose,566 ms,
fpf.org,IAD,US,North America,Ashburn,567 ms,
globalbankingandfinance.com,SJC,US,North America,San Jose,567 ms,
memphistravel.com,SJC,US,North America,San Jose,569 ms,
inchcalculator.com,HKG,HK,Asia Pacific,Hong Kong,570 ms,
appuals.com,IAD,US,North America,Ashburn,570 ms,
marketo.com,SJC,US,North America,San Jose,572 ms,
domaintools.com,SJC,US,North America,San Jose,573 ms,
ratedpeople.com,SJC,US,North America,San Jose,573 ms,
worldcoin.org,HKG,HK,Asia Pacific,Hong Kong,573 ms,
visitljubljana.com,SJC,US,North America,San Jose,575 ms,
directory.libsyn.com,HKG,HK,Asia Pacific,Hong Kong,577 ms,
bloomreach.com,SJC,US,North America,San Jose,578 ms,
elsiglodetorreon.com.mx,SJC,US,North America,San Jose,583 ms,
thelocal.se,HKG,HK,Asia Pacific,Hong Kong,584 ms,
eniro.se,SJC,US,North America,San Jose,586 ms,
vault.fbi.gov,SJC,US,North America,San Jose,586 ms,
fooddive.com,HKG,HK,Asia Pacific,Hong Kong,587 ms,
alza.cz,SJC,US,North America,San Jose,588 ms,
writeablog.net,LHR,GB,Europe,London,589 ms,
m.signalvnoise.com,HKG,HK,Asia Pacific,Hong Kong,590 ms,
tcl.fr,SJC,US,North America,San Jose,590 ms,
absolute.com,HKG,HK,Asia Pacific,Hong Kong,601 ms,
whatscookingamerica.net,CDG,FR,Europe,Paris,602 ms,
amaro.com,SJC,US,North America,San Jose,614 ms,
aes.org,CDG,FR,Europe,Paris,621 ms,
weareher.com,SJC,US,North America,San Jose,622 ms,
littlethings.com,CDG,FR,Europe,Paris,634 ms,
buytaert.net,CDG,FR,Europe,Paris,634 ms,
mediaite.com,HKG,HK,Asia Pacific,Hong Kong,636 ms,
c.ymcdn.com,LHR,GB,Europe,London,639 ms,
idratherbewriting.com,LHR,GB,Europe,London,646 ms,
nationstates.net,IAD,US,North America,Ashburn,648 ms,
bitcatcha.com,LHR,GB,Europe,London,653 ms,
techie-buzz.com,LHR,GB,Europe,London,661 ms,
bubok.es,LHR,GB,Europe,London,663 ms,
geeksaresexy.net,LHR,GB,Europe,London,664 ms,
bigpictureclasses.com,IAD,US,North America,Ashburn,666 ms,
privacypolicies.com,IAD,US,North America,Ashburn,668 ms,
improvely.com,IAD,US,North America,Ashburn,669 ms,
bigfinish.com,IAD,US,North America,Ashburn,672 ms,
firstsiteguide.com,LHR,GB,Europe,London,674 ms,
happi.com,IAD,US,North America,Ashburn,681 ms,
ancient.eu,LHR,GB,Europe,London,681 ms,
docs.mathjax.org,SJC,US,North America,San Jose,682 ms,
airtasker.com,SJC,US,North America,San Jose,683 ms,
futura-sciences.com,SJC,US,North America,San Jose,689 ms,
synthtopia.com,LHR,GB,Europe,London,690 ms,
audio-technica.com,IAD,US,North America,Ashburn,691 ms,
gamedeveloper.com,SJC,US,North America,San Jose,692 ms,
carrefour.com,SJC,US,North America,San Jose,694 ms,
enoughproject.org,SJC,US,North America,San Jose,695 ms,
museumsvictoria.com.au,HKG,HK,Asia Pacific,Hong Kong,695 ms,
myvue.com,SJC,US,North America,San Jose,696 ms,
sears.com,SJC,US,North America,San Jose,699 ms,
cybersecuritydive.com,SJC,US,North America,San Jose,699 ms,
localwp.com,HKG,HK,Asia Pacific,Hong Kong,699 ms,
torontoist.com,CDG,FR,Europe,Paris,700 ms,
memory.loc.gov,SJC,US,North America,San Jose,700 ms,
pro-football-reference.com,SJC,US,North America,San Jose,701 ms,
softwaretestinghelp.com,IAD,US,North America,Ashburn,702 ms,
websummit.com,IAD,US,North America,Ashburn,707 ms,
capitalfactory.com,SJC,US,North America,San Jose,709 ms,
cpr.org,HKG,HK,Asia Pacific,Hong Kong,711 ms,
archive.constantcontact.com,SJC,US,North America,San Jose,712 ms,
panynj.gov,HKG,HK,Asia Pacific,Hong Kong,713 ms,
rasamalaysia.com,SJC,US,North America,San Jose,714 ms,
billetweb.fr,IAD,US,North America,Ashburn,714 ms,
rstb.royalsocietypublishing.org,SJC,US,North America,San Jose,714 ms,
wemakeit.com,SJC,US,North America,San Jose,714 ms,
junit.org,HKG,HK,Asia Pacific,Hong Kong,714 ms,
redpixel.com,IAD,US,North America,Ashburn,715 ms,
smashburger.com,SJC,US,North America,San Jose,716 ms,
visaeurope.com,IAD,US,North America,Ashburn,717 ms,
atariage.com,IAD,US,North America,Ashburn,719 ms,
familyhandyman.com,LAX,US,North America,Los Angeles,719 ms,
helpdesk.com,SJC,US,North America,San Jose,719 ms,
whiteonricecouple.com,SJC,US,North America,San Jose,720 ms,
simplehabit.com,IAD,US,North America,Ashburn,720 ms,
codeigniter.com,SJC,US,North America,San Jose,722 ms,
crcpress.com,SJC,US,North America,San Jose,722 ms,
undrr.org,HKG,HK,Asia Pacific,Hong Kong,722 ms,
getmyinvoices.com,IAD,US,North America,Ashburn,723 ms,
birgun.net,IAD,US,North America,Ashburn,723 ms,
fiercebiotech.com,SJC,US,North America,San Jose,724 ms,
cupofjo.com,SJC,US,North America,San Jose,725 ms,
alsumaria.tv,IAD,US,North America,Ashburn,730 ms,
geek.com,SJC,US,North America,San Jose,731 ms,
750g.com,SJC,US,North America,San Jose,734 ms,
uship.com,LAX,US,North America,Los Angeles,737 ms,
wpbeaverbuilder.com,IAD,US,North America,Ashburn,738 ms,
afdb.org,HKG,HK,Asia Pacific,Hong Kong,740 ms,
portfolium.com,SJC,US,North America,San Jose,740 ms,
gohighlevel.com,SJC,US,North America,San Jose,742 ms,
intelligentchange.com,SJC,US,North America,San Jose,743 ms,
ncwit.org,LHR,GB,Europe,London,751 ms,
nuleafnaturals.com,SJC,US,North America,San Jose,767 ms,
mysqltutorial.org,CDG,FR,Europe,Paris,768 ms,
kronos.com,HKG,HK,Asia Pacific,Hong Kong,770 ms,
pubhtml5.com,HKG,HK,Asia Pacific,Hong Kong,770 ms,
saturn.de,MAD,ES,Europe,Madrid,771 ms,
wplms.io,LHR,GB,Europe,London,772 ms,
feyenoord.nl,HKG,HK,Asia Pacific,Hong Kong,773 ms,
nvca.org,LHR,GB,Europe,London,774 ms,
ilmeteo.it,HKG,HK,Asia Pacific,Hong Kong,776 ms,
sca.org,LHR,GB,Europe,London,776 ms,
fontsplugin.com,LHR,GB,Europe,London,776 ms,
jango.com,HKG,HK,Asia Pacific,Hong Kong,780 ms,
debounce.io,LHR,GB,Europe,London,781 ms,
addgene.org,SJC,US,North America,San Jose,782 ms,
colourblindawareness.org,LHR,GB,Europe,London,786 ms,
oie.int,CDG,FR,Europe,Paris,789 ms,
blog.gitnux.com,LHR,GB,Europe,London,794 ms,
example.co.uk,CDG,FR,Europe,Paris,798 ms,
linuxbabe.com,LHR,GB,Europe,London,798 ms,
bitbin.it,CDG,FR,Europe,Paris,798 ms,
wook.pt,HKG,HK,Asia Pacific,Hong Kong,802 ms,
transequality.org,LHR,GB,Europe,London,803 ms,
epic.org,IAD,US,North America,Ashburn,804 ms,
acouplecooks.com,CDG,FR,Europe,Paris,805 ms,
newschallenge.org,CDG,FR,Europe,Paris,806 ms,
africultures.com,LHR,GB,Europe,London,807 ms,
visualcomposer.com,CDG,FR,Europe,Paris,809 ms,
unimelb.edu.au,SJC,US,North America,San Jose,810 ms,
catalyst.org,HKG,HK,Asia Pacific,Hong Kong,812 ms,
seomoz.org,LHR,GB,Europe,London,814 ms,
joxi.ru,LHR,GB,Europe,London,815 ms,
thymio.org,LHR,GB,Europe,London,815 ms,
aas.org,IAD,US,North America,Ashburn,816 ms,
fubiz.net,CDG,FR,Europe,Paris,817 ms,
ivpress.com,IAD,US,North America,Ashburn,821 ms,
muslim-library.com,AMS,NL,Europe,Amsterdam,822 ms,
readwriteweb.com,CDG,FR,Europe,Paris,823 ms,
ajp.psychiatryonline.org,HKG,HK,Asia Pacific,Hong Kong,824 ms,
paysera.com,IAD,US,North America,Ashburn,825 ms,
allaboutbirds.org,IAD,US,North America,Ashburn,825 ms,
momsdemandaction.org,IAD,US,North America,Ashburn,825 ms,
plasq.com,CDG,FR,Europe,Paris,829 ms,
theroundup.org,CDG,FR,Europe,Paris,829 ms,
cowboysindians.com,IAD,US,North America,Ashburn,830 ms,
awstats.org,AMS,NL,Europe,Amsterdam,831 ms,
migrationpolicy.org,IAD,US,North America,Ashburn,836 ms,
artfacts.net,IAD,US,North America,Ashburn,836 ms,
pb.pl,IAD,US,North America,Ashburn,837 ms,
myanmarwebdesigner.com,LHR,GB,Europe,London,841 ms,
blog.okfn.org,IAD,US,North America,Ashburn,843 ms,
leagle.com,IAD,US,North America,Ashburn,844 ms,
taxpolicycenter.org,IAD,US,North America,Ashburn,851 ms,
kyivindependent.com,IAD,US,North America,Ashburn,855 ms,
ufile.io,IAD,US,North America,Ashburn,855 ms,
eatthismuch.com,IAD,US,North America,Ashburn,857 ms,
koko.org,IAD,US,North America,Ashburn,857 ms,
vtiger.com,IAD,US,North America,Ashburn,862 ms,
canalrural.com.br,IAD,US,North America,Ashburn,865 ms,
bikeleague.org,LHR,GB,Europe,London,872 ms,
perkins.org,IAD,US,North America,Ashburn,877 ms,
worldscreen.com,IAD,US,North America,Ashburn,889 ms,
changegrowlive.org,IAD,US,North America,Ashburn,891 ms,
350.org,LHR,GB,Europe,London,893 ms,
birdguides.com,IAD,US,North America,Ashburn,899 ms,
origo.hu,IAD,US,North America,Ashburn,909 ms,
radarbox.com,IAD,US,North America,Ashburn,917 ms,
hancinema.net,IAD,US,North America,Ashburn,918 ms,
fraserinstitute.org,IAD,US,North America,Ashburn,927 ms,
unescap.org,IAD,US,North America,Ashburn,942 ms,
oxu.az,IAD,US,North America,Ashburn,953 ms,
color.org,IAD,US,North America,Ashburn,954 ms,
iledefrance-mobilites.fr,CDG,FR,Europe,Paris,973 ms,
paidmembershipspro.com,IAD,US,North America,Ashburn,1091 ms,
bhf.org.uk,IAD,US,North America,Ashburn,1181 ms,
mackie.com,IAD,US,North America,Ashburn,1199 ms,
electronicintifada.net,IAD,US,North America,Ashburn,1247 ms,
nssf.org,SJC,US,North America,San Jose,1347 ms,
forbes.com.mx,IAD,US,North America,Ashburn,1374 ms,
fangamer.com,IAD,US,North America,Ashburn,1421 ms,
thebulletin.org,IAD,US,North America,Ashburn,1512 ms,
bmkg.go.id,IAD,US,North America,Ashburn,1650 ms,
sos.wa.gov,SJC,US,North America,San Jose,1675 ms,
cakewallet.com,IAD,US,North America,Ashburn,1751 ms,
simplyhired.com,HKG,HK,Asia Pacific,Hong Kong,1759 ms,
garyvaynerchuk.com,SJC,US,North America,San Jose,1867 ms,
carbonfund.org,SJC,US,North America,San Jose,1869 ms,
mist.com,SJC,US,North America,San Jose,1871 ms,
hushed.com,SJC,US,North America,San Jose,1871 ms,
cooperhewitt.org,SJC,US,North America,San Jose,1872 ms,
eecs.berkeley.edu,SJC,US,North America,San Jose,1873 ms,
clickbank.com,SJC,US,North America,San Jose,1874 ms,
royalgorgebridge.com,SJC,US,North America,San Jose,1891 ms,
verticalresponse.com,SJC,US,North America,San Jose,1894 ms,
seia.org,SJC,US,North America,San Jose,1922 ms,
blog.makezine.com,SJC,US,North America,San Jose,1954 ms,
thenai.org,SJC,US,North America,San Jose,1971 ms,
wpexplorer.com,SJC,US,North America,San Jose,1975 ms,
midi.org,SJC,US,North America,San Jose,2078 ms,
psecu.com,SJC,US,North America,San Jose,2741 ms,
